Model,Performance
Intel Core i5-12600HE,24599
Intel Core i7-11700K @ 3.60GHz,24558
AMD Ryzen 7 5700G,24546
AMD Ryzen 7 8840HS,24460
Intel Xeon Gold 6140 @ 2.30GHz,24445
AMD Ryzen 7 PRO 8840U,24438
AMD Ryzen 7 PRO 5750G,24422
Intel Xeon Silver 4410Y,24399
Intel Xeon Gold 6240 @ 2.60GHz,24270
Intel Xeon Gold 6138 @ 2.00GHz,24264
AMD Ryzen 7 5700,24258
Intel Core i5-14500T,24186
AMD Ryzen 5 PRO 8600GE,24174
Intel Xeon Gold 5220 @ 2.20GHz,24154
Intel Xeon E5-2679 v4 @ 2.50GHz,24131
AMD Ryzen 5 8400F,24098
Intel Core i5-12600HX,24096
Intel Xeon W-2170B @ 2.50GHz,24055
Intel Xeon Silver 4216R @ 2.20GHz,24027
AMD Ryzen 7 7840S,23966
AMD Ryzen 7 7435HS,23949
Intel Core i7-11700KF @ 3.60GHz,23921
AMD Ryzen 7 7735HS,23907
Intel Xeon W-1390 @ 2.80GHz,23902
AMD Ryzen 7 7735H,23898
AMD Ryzen 7 8840U,23875
Intel Xeon Gold 6122 @ 1.80GHz,23781
Intel Xeon E-2456,23770
Intel Core i7-13705H,23670
Intel Core i9-7920X @ 2.90GHz,23651
AMD Ryzen 7 3800XT,23607
AMD Ryzen 9 6900HS,23585
Intel Xeon E-2388G @ 3.20GHz,23546
AMD Ryzen 9 5980HX,23534
AMD EPYC 7F32,23455
AMD Ryzen 7 6800H,23389
AMD Ryzen 7 PRO 6850H,23353
Intel Xeon W-2175 @ 2.50GHz,23340
Intel Core i5-13500T,23329
Intel Xeon W-1370P @ 3.60GHz,23306
Intel Xeon Gold 6146 @ 3.20GHz,23296
AMD EPYC 7351,23226
Intel Core i5-13400,23212
Intel Core i5-13600H,23196
Intel Xeon Platinum 8176 @ 2.10GHz,23179
Intel Core i5-14400T,23176
AMD Ryzen 7 3800X,23139
Intel Core i7-13700TE,23113
AMD Ryzen Threadripper 1920X,23088
Intel Xeon E5-2698 v4 @ 2.20GHz,23055
AMD Ryzen 5 7640HS,23042
AMD Ryzen 9 PRO 6950H,22978
AMD Ryzen 7 6800HS,22938
Intel Xeon W-1370 @ 2.90GHz,22926
Intel Core i5-12600HL,22925
AMD Ryzen AI 7 PRO 360,22919
AMD Ryzen 7 PRO 3700,22899
Intel Core Ultra 5 135H,22894
Intel Core i9-11900KB @ 3.30GHz,22891
AMD Ryzen 5 8645HS,22833
AMD Ryzen 5 PRO 7640HS,22778
Intel Core i9-10900K @ 3.70GHz,22752
Intel Core i9-11980HK @ 2.60GHz,22743
Intel Core i5-13500H,22704
AMD Ryzen 9 PRO 6950HS,22697
Intel Xeon Platinum P-8124 @ 3.00GHz,22674
Intel Core i9-11900 @ 2.50GHz,22658
Intel Xeon W-11955M @ 2.60GHz,22579
AMD Ryzen 7 3700X,22535
Intel Core i7-12650H,22520
Intel Core i9-10900KF @ 3.70GHz,22511
AMD Ryzen 9 5900HX,22506
Intel Xeon E-2436,22487
Intel Core i9-10900X @ 3.70GHz,22460
AMD Ryzen 7 5700GE,22436
Intel Xeon W-1290P @ 3.70GHz,22434
Intel Xeon W-2255 @ 3.70GHz,22384
Intel Core i9-10850K @ 3.60GHz,22346
Intel Core i7-11700B @ 3.20GHz,22278
AMD Ryzen 7 7736U,22278
AMD Ryzen 7 PRO 6850HS,22259
AMD Ryzen 5 PRO 8500G,22216
Intel Core i9-11900F @ 2.50GHz,22197
Intel Core i5-12600H,22194
Intel Core Ultra 5 125H,22185
Intel Xeon Silver 4310 @ 2.10GHz,22180
Intel Xeon Gold 6132 @ 2.60GHz,22180
AMD Ryzen 9 5900HS Creator Edition,22138
AMD Ryzen 5 PRO 8500GE,22080
AMD Ryzen Threadripper 1920,22066
Intel Xeon E5-2696 v3 @ 2.30GHz,22055
Intel Xeon E5-2699C v4 @ 2.20GHz,22048
AMD Ryzen 5 5600X3D,21934
AMD Ryzen 5 PRO 5645,21904
AMD Ryzen 5 5600X,21888
AMD Ryzen 7 PRO 5750GE,21859
AMD Ryzen 5 5600T,21858
Intel Core i9-9900X @ 3.50GHz,21844
Intel Xeon Gold 6262 @ 1.90GHz,21823
Intel Xeon Gold 6130T @ 2.10GHz,21804
AMD Ryzen 9 6900HS Creator Edition,21785
AMD Ryzen 7 6800HS Creator Edition,21781
AMD Ryzen 5 8500G,21743
Intel Xeon Gold 5218 @ 2.30GHz,21651
AMD Ryzen 9 5900HS,21640
AMD EPYC 7281,21621
Intel Xeon E7-8891 v3 @ 2.80GHz,21615
Intel Core i5-12600,21585
Intel Xeon E5-2697A v4 @ 2.60GHz,21580
AMD Ryzen 5 5600,21576
Intel Xeon Gold 6334 @ 3.60GHz,21521
Intel Core i9-10910 @ 3.60GHz,21483
Intel Xeon Gold 5218T @ 2.10GHz,21433
AMD Ryzen 5 PRO 8640HS,21401
Intel Core i5-13500TE,21384
AMD Ryzen 9 5980HS,21334
Intel Core i7-12700T,21331
AMD Ryzen 5 PRO 7640U,21287
AMD Ryzen 5 7640U,21188
AMD Ryzen 7 5800HS Creator Edition,21166
AMD Ryzen 7 7735U,21160
Intel Core i9-11950H @ 2.60GHz,21157
Intel Xeon E-2378G @ 2.80GHz,21153
Intel Core i7-1370PRE,21101
Intel Xeon W-2155 @ 3.30GHz,21088
Intel Core i5-12500H,21072
Intel Core i9-7900X @ 3.30GHz,21041
Intel Core i7-7900X @ 3.30GHz,21008
AMD Ryzen 7 5800H,21004
Intel Core i7-11700F @ 2.50GHz,20999
Intel Xeon Gold 6136 @ 3.00GHz,20977
Intel Xeon Silver 4310T @ 2.30GHz,20973
AMD Ryzen 5 8640U,20971
Intel Xeon Gold 6250 @ 3.90GHz,20915
Intel Xeon E5-2697 v4 @ 2.30GHz,20907
AMD Ryzen 7 PRO 6860Z,20863
Intel Xeon E5-2697R v4 @ 2.30GHz,20843
Intel Xeon Gold 5315Y @ 3.20GHz,20820
AMD Ryzen 7 PRO 6850U,20795
AMD EPYC 7262,20779
AMD Ryzen 5 PRO 5650G,20747
Intel Core i5-12500E,20699
Intel Xeon Gold 6138T @ 2.00GHz,20649
Intel Xeon Gold 6130 @ 2.10GHz,20647
Intel Xeon E5-2673 v4 @ 2.30GHz,20631
Intel Xeon D-2753NT @ 2.00GHz,20626
Intel Xeon Silver 4216 @ 2.10GHz,20613
Intel Core i7-12650HX,20612
AMD Ryzen 7 6800U,20600
AMD Ryzen 9 5900H,20557
