Model,Performance
Intel Core i5-2415M @ 2.30GHz,1953
Intel Core i7-840QM @ 1.87GHz,1952
Intel Core i5-580M @ 2.67GHz,1950
Intel Core i7-920XM @ 2.00GHz,1950
Intel Pentium G3420 @ 3.20GHz,1949
Intel Core i3-4120U @ 2.00GHz,1948
AMD Phenom 9850B Quad-Core,1946
Intel Core i5-2410M @ 2.30GHz,1944
Intel Xeon E5506 @ 2.13GHz,1944
Intel Pentium G3240 @ 3.10GHz,1943
Intel Core i3-3220T @ 2.80GHz,1940
Intel Xeon L5410 @ 2.33GHz,1940
AMD A10-4600M APU,1938
AMD Phenom II X4 905e,1936
Intel Xeon X6550 @ 2.00GHz,1936
Intel Xeon E5603 @ 1.60GHz,1935
AMD A8-6500T APU,1929
Intel Xeon E5507 @ 2.27GHz,1928
Intel Pentium G2130 @ 3.20GHz,1926
Intel Core i3-4158U @ 2.00GHz,1921
AMD Opteron 3320 EE,1918
AMD A10 PRO-7350B APU,1915
Intel Core2 Quad Q9100 @ 2.26GHz,1915
Intel Core i7-2677M @ 1.80GHz,1912
Intel Pentium G3420T @ 2.70GHz,1912
AMD Opteron X2170 APU,1911
Intel Core i5-560M @ 2.67GHz,1909
Intel Core i5-3439Y @ 1.50GHz,1907
Intel Core i5-4422E @ 1.80GHz,1907
AMD PRO A6-8570,1906
AMD Phenom II X4 B05e,1906
AMD Athlon 5370 APU,1905
Intel Core M-5Y10a @ 0.80GHz,1905
AMD Opteron 2419 EE,1902
Intel Celeron G1850 @ 2.90GHz,1900
Intel Core i3-3130M @ 2.60GHz,1900
AMD Opteron 1385,1898
Intel Core M-5Y31 @ 0.90GHz,1896
Intel Pentium G3220 @ 3.00GHz,1893
Intel Core M-5Y10c @ 0.80GHz,1892
Intel Pentium G2120 @ 3.10GHz,1892
Intel Core2 Quad Q8300 @ 2.50GHz,1891
Intel Core i5-2510E @ 2.50GHz,1889
Intel Atom C3538 @ 2.10GHz,1889
AMD Phenom 9950 Quad-Core,1884
Intel Core i5-2515E @ 2.50GHz,1882
AMD PRO A6-8550B,1882
AMD Athlon II X3 455,1879
Intel Core i3-4030U @ 1.90GHz,1875
Intel Core i3-5015U @ 2.10GHz,1870
AMD A6-9500,1869
AMD A8-5550M APU,1869
Intel Xeon E5345 @ 2.33GHz,1868
AMD Opteron 2378,1864
Intel Core i3-4110U @ 1.90GHz,1860
Intel Core i3-2100 @ 3.10GHz,1859
Intel Core i7-2637M @ 1.70GHz,1854
Intel Core i5-4230U @ 1.90GHz,1853
Intel Pentium 1403 @ 2.60GHz,1851
Intel Celeron G3900TE @ 2.30GHz,1850
AMD A6-3620 APU,1848
Intel Core i3-4100E @ 2.40GHz,1848
AMD Athlon II X3 450,1847
Intel Core i3-2105 @ 3.10GHz,1846
Intel Core i3-2310E @ 2.10GHz,1845
AMD Phenom II X3 B77,1844
AMD Phenom 9750 Quad-Core,1843
Intel Pentium G3260T @ 2.90GHz,1837
Intel Xeon X3323 @ 2.50GHz,1837
AMD A6-7480,1837
Intel Core i7-740QM @ 1.73GHz,1833
Intel Atom x6211E @ 1.30GHz,1833
AMD Phenom II X4 B15e,1825
Intel Core M-5Y70 @ 1.10GHz,1823
AMD Athlon II X3 445,1823
Intel Core i3-2330E @ 2.20GHz,1823
AMD Phenom 9600B Quad-Core,1822
Intel Core2 Quad Q6600 @ 2.40GHz,1820
AMD A8-7410 APU,1817
AMD Athlon X4 620,1810
Intel Core i5-540M @ 2.53GHz,1809
Intel Pentium G3250T @ 2.80GHz,1809
Intel Celeron 4305U @ 2.20GHz,1807
AMD GX-424CC SOC,1805
AMD A8-5557M APU,1801
AMD A6-7470K,1799
AMD Phenom II X940 Quad-Core,1797
AMD Opteron 1381,1797
Intel Atom C3508 @ 1.60GHz,1796
AMD GX-420MC SOC,1796
AMD Athlon II X4 600e,1795
AMD PRO A4-3350B APU,1790
AMD Athlon 5350 APU,1787
AMD Athlon X4 530,1786
AMD GX-420CA SOC,1785
AMD PRO A6-9500,1784
AMD Phenom X4 Quad-Core GP-9730,1784
AMD Athlon X3 455,1783
AMD A10-5745M APU,1782
AMD Phenom II X3 B75,1781
AMD Athlon X3 435,1781
Intel Core i3-4000M @ 2.40GHz,1780
Intel Celeron G1840 @ 2.80GHz,1777
AMD Phenom II X4 910,1776
Intel Core2 Quad Q8200 @ 2.33GHz,1775
Intel Core i7-820QM @ 1.73GHz,1775
AMD R-464L APU,1773
AMD A8-6410 APU,1772
Intel Xeon L5408 @ 2.13GHz,1769
AMD Phenom II N830 3+1,1768
AMD A10-4657M APU,1759
AMD A6-9500E,1756
Intel Pentium G2030 @ 3.00GHz,1751
AMD Opteron 2373 EE,1744
AMD A10-7300 APU,1742
Intel Xeon L5335 @ 2.00GHz,1737
AMD Phenom 9650 Quad-Core,1733
AMD Opteron 2356,1733
Intel Celeron 3965U @ 2.20GHz,1732
AMD A6-7310 APU,1724
AMD Phenom X2 Dual-Core GE-6060,1722
Intel Core i5-520M @ 2.40GHz,1718
Intel Xeon E5405 @ 2.00GHz,1718
Intel Celeron G1820 @ 2.70GHz,1717
Intel Core i5-2557M @ 1.70GHz,1716
AMD Phenom 9850 Quad-Core,1712
AMD Athlon II X3 440,1712
Intel Celeron G1630 @ 2.80GHz,1707
AMD Opteron 1356,1703
AMD Phenom FX-5200 Quad-Core,1699
Intel Celeron 4305UE @ 2.00GHz,1699
Intel Core i3-3120M @ 2.50GHz,1697
AMD A6-3600 APU,1697
Intel Atom x6211E @ 1.20GHz,1695
Intel Pentium G2020 @ 2.90GHz,1691
Intel Pentium G2100T @ 2.60GHz,1691
Intel Pentium 4425Y @ 1.70GHz,1689
AMD A9-9430,1689
AMD A8-4500M APU,1688
Intel Core i7-2617M @ 1.50GHz,1687
AMD Phenom II N970 Quad-Core,1687
AMD A8-3550MX APU,1687
AMD A6-6310 APU,1674
AMD A4-6250J APU,1671
AMD Phenom II X920 Quad-Core,1669
AMD A6-5200 APU,1663
AMD PRO A6-9500E,1662
Intel Core i3-560 @ 3.33GHz,1662
Intel Core i3-4005U @ 1.70GHz,1662
Intel Core i3-4010U @ 1.70GHz,1658
AMD A10-4655M APU,1658
Intel Pentium G3240T @ 2.70GHz,1657
Intel Core i7-720QM @ 1.60GHz,1657
AMD A4-7210 APU,1656
AMD Phenom 9550 Quad-Core,1656
Intel Core i3-4030Y @ 1.60GHz,1654
AMD Phenom X4 Quad-Core GP-9600,1649
AMD PRO A4-8350B,1649
AMD A4 PRO-3340B,1645
Intel Core M-5Y10 @ 0.80GHz,1644
AMD PRO A6-8570E,1642
AMD A6 PRO-7400B,1640
AMD A8-7100 APU,1638
Intel Core i3-3110M @ 2.40GHz,1637
AMD A8-3510MX APU,1631
Intel Celeron G1820T @ 2.40GHz,1631
AMD A6-7400K APU,1631
AMD Athlon II X3 435,1630
AMD Embedded R-Series RX-216GD,1628
AMD Athlon X3 445,1626
Intel Core i5 E 520 @ 2.40GHz,1619
AMD A6-6400B APU,1616
Intel Pentium G2120T @ 2.70GHz,1613
Intel Core i3-550 @ 3.20GHz,1611
AMD A8-3530MX APU,1608
AMD Phenom 9600 Quad-Core,1607
Intel Celeron 2000E @ 2.20GHz,1607
Intel Pentium G3220T @ 2.60GHz,1605
AMD GX-416RA SOC,1604
AMD A6-8550,1604
AMD PRO A6-8500B,1601
AMD Embedded G-Series GX-420GI Radeon R7E,1600
AMD Phenom FX-5000 Quad-Core,1599
Intel Pentium G2010 @ 2.80GHz,1599
Intel Core i5-4220Y @ 1.60GHz,1591
AMD Phenom 9350e Quad-Core,1590
Intel Core i5-3339Y @ 1.50GHz,1589
AMD Phenom II N950 Quad-Core,1587
AMD Phenom II N930 Quad-Core,1584
Intel Pentium 4415Y @ 1.60GHz,1583
Intel Pentium G2030T @ 2.60GHz,1581
AMD Athlon II X3 425,1576
AMD A6-6420K APU,1576
Intel Celeron G1840T @ 2.50GHz,1576
AMD Phenom II X3 720,1575
Intel Core2 Quad Q9000 @ 2.00GHz,1575
Intel Pentium G3320TE @ 2.30GHz,1570
AMD A8-5545M APU,1567
AMD Phenom X2 Dual-Core GE-5060,1566
AMD Phenom 9500 Quad-Core,1564
Intel Celeron G1620 @ 2.70GHz,1560
Intel Celeron G1830 @ 2.80GHz,1560
Intel Core i5-4210Y @ 1.50GHz,1559
Intel Core i5-4200Y @ 1.40GHz,1558
AMD Athlon II X3 420e,1557
Intel Celeron J4005 @ 2.00GHz,1553
AMD Phenom II X3 710,1551
AMD A6-6420B APU,1550
Intel Xeon E5335 @ 2.00GHz,1549
Intel Celeron N4020 @ 1.10GHz,1548
AMD Opteron 1352,1547
Intel Pentium G870 @ 3.10GHz,1546
AMD A4 PRO-7350B,1544
Intel Atom x6414RE @ 1.50GHz,1544
Intel Core i3-540 @ 3.07GHz,1538
AMD Phenom II X3 B73,1538
AMD R-460L APU,1538
Intel Celeron N4020C @ 1.10GHz,1534
Intel Celeron G1620T @ 2.40GHz,1532
Intel Core i7-640LM @ 2.13GHz,1531
AMD A4-6320 APU,1530
AMD A4-7300 APU,1529
AMD A8 PRO-7150B APU,1528
Intel Core i3-2120T @ 2.60GHz,1528
Intel Pentium 4405Y @ 1.50GHz,1526
Intel Celeron G1610 @ 2.60GHz,1524
Intel Xeon X5270 @ 3.50GHz,1524
AMD A9-9410,1522
AMD Phenom 9750B Quad-Core,1520
Intel Xeon E5504 @ 2.00GHz,1519
Intel Core i5-4302Y @ 1.60GHz,1516
AMD Athlon X3 425,1516
AMD E2-7110 APU,1516
AMD Opteron X3216 APU,1514
AMD A9-9425,1512
Intel Core i5-4202Y @ 1.60GHz,1511
AMD Opteron 2354,1509
Intel Core i5-4300Y @ 1.60GHz,1505
AMD Phenom II X4 900e,1505
AMD Athlon X2 370K Dual Core,1504
AMD A6-6400K APU,1504
Intel Core i3-530 @ 2.93GHz,1501
Intel Celeron 2970M @ 2.20GHz,1501
Intel Core i3-2100T @ 2.50GHz,1501
AMD A9-9420,1498
AMD A4-6210 APU,1494
Intel Celeron 3955U @ 2.00GHz,1478
Intel Core m5-7Y54 @ 1.20GHz,1475
Intel Celeron J4025 @ 2.00GHz,1473
Intel Core i3-4020Y @ 1.50GHz,1473
Intel Xeon E5320 @ 1.86GHz,1469
Intel Xeon E7320 @ 2.13GHz,1469
Intel Celeron 3867U @ 1.80GHz,1467
AMD Phenom 8600B Triple-Core,1464
AMD A6-5400B APU,1459
AMD A4 PRO-7300B APU,1458
Intel Pentium J3710 @ 1.60GHz,1456
AMD Phenom 9450e Quad-Core,1455
Intel Xeon X5272 @ 3.40GHz,1451
AMD Phenom II X3 700e,1451
AMD Opteron 1354,1449
Intel Pentium G860 @ 3.00GHz,1448
Intel Xeon E5240 @ 3.00GHz,1448
AMD A6-3430MX APU,1448
AMD A6-8500P,1445
AMD Phenom 8750 Triple-Core,1445
Intel Pentium G850 @ 2.90GHz,1443
AMD Phenom II X2 565,1442
AMD A8-3520M APU,1441
AMD Athlon II X3 415e,1441
AMD Athlon X3 440,1438
Intel Pentium G6960 @ 2.93GHz,1433
Intel Celeron 5205U @ 1.90GHz,1430
Intel Pentium G2020T @ 2.50GHz,1430
Intel Xeon E3113 @ 3.00GHz,1429
Intel Pentium G645 @ 2.90GHz,1428
Intel Pentium 2030M @ 2.50GHz,1427
AMD A4-6300 APU,1426
Intel Celeron N4000 @ 1.10GHz,1426
AMD A10 Micro-6700T APU,1426
Intel Atom C2558 @ 2.40GHz,1424
AMD Phenom II X3 740,1424
Intel Atom C2550 @ 2.40GHz,1422
AMD A6-3500 APU,1420
AMD GX-415GA SOC,1417
Intel Core i5-2467M @ 1.60GHz,1416
AMD Phenom 9150e Quad-Core,1414
Intel Core i7-2610UE @ 1.50GHz,1409
Intel Xeon E3120 @ 3.16GHz,1408
Intel Core2 Duo E8290 @ 2.83GHz,1408
Intel Xeon E3-1220L v3 @ 1.10GHz,1407
Intel Celeron 1020E @ 2.20GHz,1406
Intel Core i7-620LM @ 2.00GHz,1406
Intel Celeron N4000C @ 1.10GHz,1406
AMD A8-3500M APU,1400
Intel Pentium 3825U @ 1.90GHz,1399
AMD Phenom II X2 B59,1396
AMD Phenom II X2 570,1395
Intel Pentium N3710 @ 1.60GHz,1390
Intel Celeron G555 @ 2.70GHz,1388
AMD Athlon 5150 APU,1388
AMD Phenom II P960 Quad-Core,1386
Intel Xeon L5310 @ 1.60GHz,1385
AMD E1-6050J APU ,1385
Intel Pentium 4410Y @ 1.50GHz,1384
Intel Pentium G6951 @ 2.80GHz,1383
Intel Pentium 2020M @ 2.40GHz,1377
Intel Core2 Duo E8600 @ 3.33GHz,1376
AMD Phenom II X2 521,1374
AMD Phenom II X2 560,1372
Intel Core i3-2370M @ 2.40GHz,1371
Intel Celeron 4205U @ 1.80GHz,1367
Intel Core i3-3217UE @ 1.60GHz,1362
AMD A4-5300 APU,1361
Intel Core i3-4010Y @ 1.30GHz,1358
AMD PRO A6-9500B,1357
AMD Athlon II X2 280,1355
Intel Core i3-2332M @ 2.20GHz,1353
Intel Pentium G640 @ 2.80GHz,1349
AMD A4-5100 APU,1346
Intel Pentium 3560M @ 2.40GHz,1345
Intel Xeon L3110 @ 3.00GHz,1338
Intel Xeon L5240 @ 3.00GHz,1337
Intel Pentium G630 @ 2.70GHz,1336
AMD A6-9225,1333
AMD A8-4555M APU,1331
AMD Athlon II X3 405e,1331
Intel Pentium 3550M @ 2.30GHz,1330
AMD A9-9400,1329
AMD A4-5050 APU,1328
AMD A4-6300B APU,1328
AMD Athlon X2 280,1327
Intel Celeron G1610T @ 2.30GHz,1327
Intel Core i5 750S @ 2.40GHz,1326
AMD Phenom II N870 Triple-Core,1324
Intel Atom x7-Z8700 @ 1.60GHz,1324
Intel Xeon @ 2.20GHz,1324
Intel Core i5-480M @ 2.67GHz,1323
Intel Celeron 3865U @ 1.80GHz,1321
AMD Athlon II X3 400e,1320
AMD Phenom II P940 Quad-Core,1319
AMD Opteron 2393 SE,1317
AMD Athlon X2 340 Dual Core,1307
Intel Xeon E5310 @ 1.60GHz,1306
AMD A6-9230,1303
AMD Athlon II X2 270,1301
AMD Phenom II N850 Triple-Core,1298
Intel Core i5-460M @ 2.53GHz,1297
AMD Phenom X4 Quad-Core GP-9500,1297
AMD Phenom II X2 555,1296
AMD Athlon X2 450,1295
AMD A6-3420M APU,1293
Intel Xeon X3210 @ 2.13GHz,1293
Intel Core i3-3227U @ 1.90GHz,1293
AMD A4-5000 APU,1290
Intel Core i7-660UM @ 1.33GHz,1284
AMD A6-9220,1283
AMD Phenom 8850B Triple-Core,1281
AMD Phenom 9100e Quad-Core,1279
Intel Core i3-4012Y @ 1.50GHz,1278
Intel Core2 Duo E8500 @ 3.16GHz,1278
AMD Sempron 240,1278
Intel Core i3-390M @ 2.67GHz,1276
Intel Core i3-2348M @ 2.30GHz,1276
AMD A6-5400K APU,1275
Intel Celeron 1020M @ 2.10GHz,1275
Intel Atom x7-Z8750 @ 1.60GHz,1272
AMD Embedded G-Series GX-224IJ Radeon R4E,1271
Intel Pentium G840 @ 2.80GHz,1270
AMD Athlon II X2 B28,1269
Intel Celeron J3160 @ 1.60GHz,1269
AMD A4-4020 APU,1268
AMD Athlon II X2 265,1267
AMD Phenom II X2 511,1265
AMD A6-3410MX APU,1263
AMD Phenom II X620 Dual-Core,1262
AMD Phenom II X2 B57,1260
Intel Core i3-330E @ 2.13GHz,1260
Intel Celeron G550 @ 2.60GHz,1259
AMD Phenom 8450e Triple-Core,1257
Intel Core i3-2350M @ 2.30GHz,1256
Intel Pentium N3700 @ 1.60GHz,1255
Intel Celeron 3765U @ 1.90GHz,1252
AMD Phenom II P860 Triple-Core,1250
Intel Pentium J2900 @ 2.41GHz,1249
Intel Pentium A1020 @ 2.41GHz,1249
AMD A6-9210,1248
AMD A4-5300B APU,1247
Intel Xeon E3110 @ 3.00GHz,1242
Intel Core i3-2328M @ 2.20GHz,1240
Intel Core i5-450M @ 2.40GHz,1239
Intel Pentium G6950 @ 2.80GHz,1238
Intel Xeon X5260 @ 3.33GHz,1238
Intel Atom x5-Z8500 @ 1.44GHz,1236
Intel Celeron 2950M @ 2.00GHz,1234
Intel Core i3-2330M @ 2.20GHz,1233
Intel Pentium G645T @ 2.50GHz,1228
AMD Phenom X4 Quad-Core GP-9530,1228
Intel Core i3-3217U @ 1.80GHz,1224
Intel Core i5-2537M @ 1.40GHz,1223
AMD Phenom II X2 545,1222
AMD Phenom II X3 705e,1222
AMD Phenom II N830 Triple-Core,1222
AMD Phenom 8450 Triple-Core,1221
AMD A6-5350M APU,1221
Intel Core i3-2310M @ 2.10GHz,1221
Intel Celeron 3855U @ 1.60GHz,1219
AMD PRO A6-7350B,1218
AMD Phenom 8650 Triple-Core,1218
AMD A4-9120,1217
Intel Core2 Duo T9800 @ 2.93GHz,1216
AMD R-272F APU,1215
Intel Pentium G620 @ 2.60GHz,1213
AMD A4-9125,1211
AMD Phenom 8600 Triple-Core,1210
Intel Pentium A1018 @ 2.10GHz,1210
AMD Athlon II X2 B26,1206
Intel Core2 Duo E8400 @ 3.00GHz,1206
Intel Core i5-430M @ 2.27GHz,1205
Intel Pentium N3540 @ 2.16GHz,1201
Intel Core i3-380M @ 2.53GHz,1200
AMD Opteron 2222,1198
Intel Celeron J3355 @ 2.00GHz,1197
Intel Core i7-680UM @ 1.47GHz,1196
Intel Celeron 3965Y @ 1.50GHz,1194
AMD A6-3400M APU,1193
Intel Pentium N3530 @ 2.16GHz,1193
Intel Celeron N3150 @ 1.60GHz,1192
Intel Celeron N3160 @ 1.60GHz,1192
Intel Core2 Duo T9900 @ 3.06GHz,1189
AMD Phenom 8750B Triple-Core,1188
Intel Atom Z3795 @ 1.60GHz,1188
AMD Phenom II X2 B55,1183
Intel Core i7-640UM @ 1.20GHz,1183
Intel Pentium E6700 @ 3.20GHz,1182
Intel Celeron G540 @ 2.50GHz,1182
Intel Celeron 3755U @ 1.70GHz,1182
AMD Athlon II X2 260,1179
Intel Pentium 3805U @ 1.90GHz,1178
Intel Pentium E6800 @ 3.33GHz,1177
AMD Athlon II X2 255,1175
Intel Pentium E6500 @ 2.93GHz,1172
Intel Pentium E5800 @ 3.20GHz,1172
Intel Core2 Extreme X9100 @ 3.06GHz,1171
AMD Athlon II X2 245e,1171
AMD Phenom II X2 550,1167
AMD A6-5357M APU,1165
AMD Phenom II X640 Dual-Core,1165
AMD Phenom 8400 Triple-Core,1164
AMD Athlon II X2 250,1163
Intel Xeon W3505 @ 2.53GHz,1161
Intel Core i3-2312M @ 2.10GHz,1159
Intel Core i3-370M @ 2.40GHz,1158
AMD QC-4000,1155
AMD Athlon II X2 250e,1155
AMD E2-3800 APU,1152
AMD A8-7050,1152
AMD Phenom X3 8550,1151
Intel Celeron J1900 @ 1.99GHz,1151
Intel Core2 Duo E7600 @ 3.06GHz,1150
AMD Sempron 3850 APU,1150
Intel Core2 Duo P9700 @ 2.80GHz,1149
AMD A6 Micro-6500T APU,1146
Intel Pentium N3520 @ 2.16GHz,1146
AMD A4-4000 APU,1146
Intel Atom x5-Z8550 @ 1.44GHz,1144
Intel Core2 Duo E7500 @ 2.93GHz,1143
AMD Phenom 8850 Triple-Core,1142
Intel Core2 Duo E6850 @ 3.00GHz,1142
Intel Pentium G640T @ 2.40GHz,1139
Intel Core2 Extreme X7800 @ 2.60GHz,1138
Intel Celeron G540T @ 2.10GHz,1137
AMD Phenom II X2 B53,1137
AMD E2-6110 APU,1128
Intel Pentium E6600 @ 3.06GHz,1128
AMD PRO A6-8530B,1127
Intel Celeron G530 @ 2.40GHz,1126
Intel Core2 Duo E8200 @ 2.66GHz,1124
AMD A6-5345M APU,1122
Intel Core2 Duo E8335 @ 2.66GHz,1121
AMD Athlon II X2 B24,1120
Intel Xeon L5320 @ 1.86GHz,1118
Intel Xeon W3503 @ 2.40GHz,1118
AMD PRO A4-4350B,1118
AMD A6-9200,1116
AMD Phenom 8250 Triple-Core,1114
Intel Xeon 3075 @ 2.66GHz,1112
Intel Core2 Duo E8135 @ 2.66GHz,1112
AMD Athlon II X2 245,1110
Intel Atom x6214RE @ 1.40GHz,1109
Intel Celeron 1005M @ 1.90GHz,1109
AMD A9-9420e,1107
Intel Celeron N3350 @ 1.10GHz,1107
AMD Opteron 2220,1106
AMD Athlon II X2 210e,1105
Intel Core2 Extreme X7900 @ 2.80GHz,1104
Intel Core2 Duo E8435 @ 3.06GHz,1104
Intel Core2 Extreme X9000 @ 2.80GHz,1099
AMD GX-412HC,1095
Intel Core2 Extreme X6800 @ 2.93GHz,1095
Intel Core2 Duo P9600 @ 2.66GHz,1093
AMD E2-9010,1093
Intel Core i7-620UM @ 1.07GHz,1091
Intel Celeron 2002E @ 1.50GHz,1091
Intel Pentium G630T @ 2.30GHz,1090
AMD Opteron 1222,1089
Intel Pentium B980 @ 2.40GHz,1087
Intel Celeron G1101 @ 2.27GHz,1086
Intel Core i3-350M @ 2.27GHz,1086
AMD A4-3400 APU,1086
AMD Phenom 8250e Triple-Core,1084
Intel Celeron 3215U @ 1.70GHz,1083
AMD Phenom II N660 Dual-Core,1083
AMD A4 Micro-6400T APU,1082
Intel Pentium E5700 @ 3.00GHz,1081
AMD Athlon II X2 235e,1079
AMD Phenom II P840 Triple-Core,1079
Intel Core2 Duo T9600 @ 2.80GHz,1075
Intel Celeron G550T @ 2.20GHz,1074
Intel Pentium B970 @ 2.30GHz,1073
AMD A6-1450 APU,1072
Intel Xeon 3085 @ 3.00GHz,1070
Intel Celeron 1000M @ 1.80GHz,1069
AMD Phenom II P820 Triple-Core,1068
AMD Embedded G-Series GX-215JJ Radeon R2E,1064
Intel Pentium 2127U @ 1.90GHz,1064
AMD Phenom X4 Quad-Core GS-6560,1063
Intel Pentium 3556U @ 1.70GHz,1061
AMD Athlon 7850 Dual-Core,1058
Intel Celeron 2980U @ 1.60GHz,1056
Intel Celeron G530T @ 2.00GHz,1056
AMD A4-3420 APU,1054
AMD A6-9220C,1053
AMD Athlon II X2 B22,1053
Intel Atom E3845 @ 1.91GHz,1052
AMD GX-222GC SOC,1044
Intel Celeron N2940 @ 1.83GHz,1044
Intel Core2 Duo T9500 @ 2.60GHz,1044
AMD Athlon II X2 220,1043
AMD Athlon II X2 240,1042
Intel Pentium E5500 @ 2.80GHz,1040
Intel Core2 Duo P9600 @ 2.53GHz,1040
Intel Pentium 3558U @ 1.70GHz,1040
Intel Celeron 2981U @ 1.60GHz,1036
AMD Opteron 2218,1036
AMD Opteron 1220,1036
Intel Core2 Duo E7400 @ 2.80GHz,1035
AMD Turion II Ultra Dual-Core Mobile M640,1034
Intel Core2 Duo E8335 @ 2.93GHz,1032
Intel Pentium E6300 @ 2.80GHz,1032
Intel Atom C3338 @ 1.50GHz,1028
Intel Celeron U1900 @ 1.99GHz,1028
Intel Xeon 3070 @ 2.66GHz,1025
Intel Core i3-330M @ 2.13GHz,1022
Intel Pentium 2117U @ 1.80GHz,1022
Intel Core2 Duo E8235 @ 2.80GHz,1020
Intel Celeron G1820TE @ 2.20GHz,1020
Intel Core2 Duo E8300 @ 2.83GHz,1019
Intel Pentium J2850 @ 2.41GHz,1016
Intel Core i5-560UM @ 1.33GHz,1015
AMD Athlon X2 240e,1015
Intel Celeron N2930 @ 1.83GHz,1014
Intel Core2 Duo E6750 @ 2.66GHz,1012
AMD Turion II Ultra Dual-Core Mobile M660,1011
Intel Core2 Duo T9400 @ 2.53GHz,1011
AMD A6 PRO-7050B APU,1010
AMD A6-7000 ,1010
AMD A6-4400M APU,1010
AMD Phenom X2 Dual-Core GE-7060,1010
Intel Core i3-3229Y @ 1.40GHz,1008
AMD Phenom II P920 Quad-Core,1006
Intel Core i5-540UM @ 1.20GHz,1002
AMD A4-4300M APU,1000
AMD Athlon 64 X2 Dual Core 6400+,998
AMD Athlon X2 215,996
Intel Pentium B950 @ 2.10GHz,995
Intel Core2 Duo P9500 @ 2.53GHz,993
Intel Celeron 1037U @ 1.80GHz,993
AMD Athlon 64 FX-62 Dual Core,993
Intel Core2 Duo E7200 @ 2.53GHz,993
AMD Phenom II N620 Dual-Core,992
Intel Core2 Duo E6700 @ 2.66GHz,990
AMD Athlon II X2 4300e,990
Intel Core2 Duo T9300 @ 2.50GHz,987
Intel Pentium Extreme Edition 965 @ 3.73GHz,987
AMD Athlon 7750 Dual-Core,987
AMD Athlon II X2 240e,987
Intel Pentium B960 @ 2.20GHz,986
Intel Xeon 3060 @ 2.40GHz,983
AMD E2-9030,983
AMD Opteron 1218 HE,979
AMD A6-9220e,977
Intel Core i3-2340UE @ 1.30GHz,976
Intel Pentium E5400 @ 2.70GHz,975
Intel Core2 Duo E8135 @ 2.40GHz,973
AMD Athlon II X2 215,973
AMD Athlon 64 FX-74,972
Intel Core2 Duo T9550 @ 2.66GHz,972
AMD E2-3200 APU,968
Intel Celeron B840 @ 1.90GHz,967
AMD E2-9000,967
AMD Phenom II N640 Dual-Core,965
Intel Xeon 5160 @ 3.00GHz,963
Intel Atom x5-E8000 @ 1.04GHz,962
Intel Core2 Duo P8700 @ 2.53GHz,960
Intel Atom C2538 @ 2.40GHz,960
AMD Opteron 285,956
AMD Turion II Ultra Dual-Core Mobile M600,955
AMD Turion II P540 Dual-Core,954
AMD R-260H APU,954
Intel Core2 Duo P9300 @ 2.26GHz,952
AMD Opteron 290,952
Intel Celeron N2920 @ 1.86GHz,950
Intel Core2 Duo T7700 @ 2.40GHz,949
Intel Celeron 3205U @ 1.50GHz,947
Intel Core2 Duo E7300 @ 2.66GHz,946
AMD Athlon II X2 4400e,944
Intel Celeron J1850 @ 1.99GHz,942
Intel Core2 Duo E6600 @ 2.40GHz,942
AMD A4-3300 APU,942
AMD Athlon X2 255,938
Intel Core2 Duo P8800 @ 2.66GHz,937
Intel Pentium E5200 @ 2.50GHz,936
Intel Celeron E3500 @ 2.70GHz,935
AMD Phenom II P650 Dual-Core,933
AMD Sempron X2 198 Dual-Core,930
AMD Athlon 64 X2 Dual Core 6000+,930
Intel Xeon L3406 @ 2.27GHz,928
Intel Atom x5-E3930 @ 1.30GHz,928
Intel Xeon 5150 @ 2.66GHz,924
AMD Athlon X2 240,921
Intel Core2 Duo T7800 @ 2.60GHz,921
AMD Athlon Dual Core 5400B,914
AMD Turion II Dual-Core Mobile M540,912
Intel Xeon 5148 @ 2.33GHz,912
AMD A4-1350 APU,911
AMD Opteron 1218,910
AMD Opteron 2220 SE,909
Intel Pentium P6200 @ 2.13GHz,908
Intel Core i5-520UM @ 1.07GHz,908
Intel Core2 Duo E4700 @ 2.60GHz,908
AMD Athlon 64 X2 Dual Core 5400+,907
AMD Athlon 64 X2 Dual Core 5600+,903
Intel Core i3-2375M @ 1.50GHz,903
Intel Pentium E5300 @ 2.60GHz,902
Intel Xeon 3.73GHz,901
AMD Athlon 7550 Dual-Core,900
AMD Athlon II N370 Dual-Core,899
Intel Core2 Duo T8300 @ 2.40GHz,896
Intel Pentium G620T @ 2.20GHz,896
Intel Core2 Duo E6550 @ 2.33GHz,896
Intel Celeron 1017U @ 1.60GHz,895
AMD RX-225FB,892
Intel Atom x5-Z8350 @ 1.44GHz,892
Intel Pentium 3560Y @ 1.20GHz,887
Intel Xeon 5133 @ 2.20GHz,887
AMD E2-9000e,886
AMD Phenom X2 Dual-Core GP-7730,884
Intel Pentium P6100 @ 2.00GHz,882
AMD Sempron X2 190,879
Intel Pentium N3510 @ 1.99GHz,878
AMD Turion II P560 Dual-Core,878
AMD Turion II N550 Dual-Core,877
Intel Celeron 2955U @ 1.40GHz,877
Intel Core2 Duo E4600 @ 2.40GHz,872
AMD Athlon 5000 Dual-Core,872
AMD Athlon 5200 Dual-Core,869
AMD Athlon II X2 4450e,867
Intel Xeon 3065 @ 2.33GHz,867
